BioSample,LibraryName,refGenome,fq1,fq2,lat,long,Organism,Run,BioProject
MVZCCGP-Psa11_I-D08,MVZCCGP-Psa11_I-D08_S28,GCA_022577445.1,MVZCCGP-Psa11_I-D08_S28_R1_001.fastq.gz,MVZCCGP-Psa11_I-D08_S28_R2_001.fastq.gz,38.20835,-122.3403833,41-Passerculus,MVZCCGP-Psa11_I-D08_S28,41-Passerculus
MVZCCGP-Psa12_II-C01,MVZCCGP-Psa12_II-C01_S133,GCA_022577445.1,MVZCCGP-Psa12_II-C01_S133_R1_001.fastq.gz,MVZCCGP-Psa12_II-C01_S133_R2_001.fastq.gz,35.33435,-120.8189167,41-Passerculus,MVZCCGP-Psa12_II-C01_S133,41-Passerculus
MVZCCGP-Psa13_I-E02,MVZCCGP-Psa13_I-E02_S128,GCA_022577445.1,MVZCCGP-Psa13_I-E02_S128_R1_001.fastq.gz,MVZCCGP-Psa13_I-E02_S128_R2_001.fastq.gz,35.33435,-120.8189167,41-Passerculus,MVZCCGP-Psa13_I-E02_S128,41-Passerculus
MVZCCGP-Psa14_I-F02,MVZCCGP-Psa14_I-F02_S127,GCA_022577445.1,MVZCCGP-Psa14_I-F02_S127_R1_001.fastq.gz,MVZCCGP-Psa14_I-F02_S127_R2_001.fastq.gz,35.33435,-120.8189167,41-Passerculus,MVZCCGP-Psa14_I-F02_S127,41-Passerculus
MVZCCGP-Psa15_I-G02,MVZCCGP-Psa15_I-G02_S126,GCA_022577445.1,MVZCCGP-Psa15_I-G02_S126_R1_001.fastq.gz,MVZCCGP-Psa15_I-G02_S126_R2_001.fastq.gz,35.33435,-120.8189167,41-Passerculus,MVZCCGP-Psa15_I-G02_S126,41-Passerculus
MVZCCGP-Psa16_I-H02,MVZCCGP-Psa16_I-H02_S125,GCA_022577445.1,MVZCCGP-Psa16_I-H02_S125_R1_001.fastq.gz,MVZCCGP-Psa16_I-H02_S125_R2_001.fastq.gz,35.33435,-120.8189167,41-Passerculus,MVZCCGP-Psa16_I-H02_S125,41-Passerculus
MVZCCGP-Psa17_II-D01,MVZCCGP-Psa17_II-D01_S132,GCA_022577445.1,MVZCCGP-Psa17_II-D01_S132_R1_001.fastq.gz,MVZCCGP-Psa17_II-D01_S132_R2_001.fastq.gz,35.33435,-120.8189167,41-Passerculus,MVZCCGP-Psa17_II-D01_S132,41-Passerculus
MVZCCGP-Psa18_I-A03,MVZCCGP-Psa18_I-A03_S124,GCA_022577445.1,MVZCCGP-Psa18_I-A03_S124_R1_001.fastq.gz,MVZCCGP-Psa18_I-A03_S124_R2_001.fastq.gz,35.33435,-120.8189167,41-Passerculus,MVZCCGP-Psa18_I-A03_S124,41-Passerculus
MVZCCGP-Psa19_I-B03,MVZCCGP-Psa19_I-B03_S123,GCA_022577445.1,MVZCCGP-Psa19_I-B03_S123_R1_001.fastq.gz,MVZCCGP-Psa19_I-B03_S123_R2_001.fastq.gz,35.33435,-120.8189167,41-Passerculus,MVZCCGP-Psa19_I-B03_S123,41-Passerculus
MVZCCGP-Psa20_I-C03,MVZCCGP-Psa20_I-C03_S17,GCA_022577445.1,MVZCCGP-Psa20_I-C03_S17_R1_001.fastq.gz,MVZCCGP-Psa20_I-C03_S17_R2_001.fastq.gz,35.33435,-120.8189167,41-Passerculus,MVZCCGP-Psa20_I-C03_S17,41-Passerculus
