BioSample,LibraryName,refGenome,fq1,fq2,lat,long,Organism,Run,BioProject,SampleType
MVZCCGP_Mfo166-II_C07,MVZCCGP_Mfo166-II_C07_3,GCA_026170545.1,MVZCCGP-Mfo166_S40_L004_R1_001.fastq.gz,MVZCCGP-Mfo166_S40_L004_R2_001.fastq.gz,41.262543,-121.498412,41-Melanerpes,MVZCCGP_Mfo166-II_C07_3,41-Melanerpes,
MVZCCGP_Mfo22-I_G02,MVZCCGP_Mfo22-I_G02_1,GCA_026170545.1,MVZCCGP_Mfo22-I_G02_R1.fastq.gz,MVZCCGP_Mfo22-I_G02_R2.fastq.gz,36.768431,-119.033885,41-Melanerpes,MVZCCGP_Mfo22-I_G02_1,41-Melanerpes,
MVZCCGP_Mfo22-I_G02,MVZCCGP_Mfo22-I_G02_3,GCA_026170545.1,MVZCCGP-Mfo22_S100_L004_R1_001.fastq.gz,MVZCCGP-Mfo22_S100_L004_R2_001.fastq.gz,36.768431,-119.033885,41-Melanerpes,MVZCCGP_Mfo22-I_G02_3,41-Melanerpes,
MVZCCGP_Mfo28-I_C03,MVZCCGP_Mfo28-I_C03_1,GCA_026170545.1,MVZCCGP_Mfo28-I_C03_R1.fastq.gz,MVZCCGP_Mfo28-I_C03_R2.fastq.gz,35.60024,-118.51832,41-Melanerpes,MVZCCGP_Mfo28-I_C03_1,41-Melanerpes,
MVZCCGP_Mfo28-I_C03,MVZCCGP_Mfo28-I_C03_3,GCA_026170545.1,MVZCCGP-Mfo28_S69_L004_R1_001.fastq.gz,MVZCCGP-Mfo28_S69_L004_R2_001.fastq.gz,35.60024,-118.51832,41-Melanerpes,MVZCCGP_Mfo28-I_C03_3,41-Melanerpes,
MVZCCGP_Mfo40-I_C04,MVZCCGP_Mfo40-I_C04_1,GCA_026170545.1,MVZCCGP_Mfo40-I_C04_R1.fastq.gz,MVZCCGP_Mfo40-I_C04_R2.fastq.gz,34.150831,-118.3305,41-Melanerpes,MVZCCGP_Mfo40-I_C04_1,41-Melanerpes,
MVZCCGP_Mfo40-I_C04,MVZCCGP_Mfo40-I_C04_3,GCA_026170545.1,MVZCCGP-Mfo40_S34_L004_R1_001.fastq.gz,MVZCCGP-Mfo40_S34_L004_R2_001.fastq.gz,34.150831,-118.3305,41-Melanerpes,MVZCCGP_Mfo40-I_C04_3,41-Melanerpes,
MVZCCGP_Mfo41-I_D04,MVZCCGP_Mfo41-I_D04_1,GCA_026170545.1,MVZCCGP_Mfo41-I_D04_R1.fastq.gz,MVZCCGP_Mfo41-I_D04_R2.fastq.gz,34.186111,-118.146944,41-Melanerpes,MVZCCGP_Mfo41-I_D04_1,41-Melanerpes,
MVZCCGP_Mfo41-I_D04,MVZCCGP_Mfo41-I_D04_3,GCA_026170545.1,MVZCCGP-Mfo41_S33_L004_R1_001.fastq.gz,MVZCCGP-Mfo41_S33_L004_R2_001.fastq.gz,34.186111,-118.146944,41-Melanerpes,MVZCCGP_Mfo41-I_D04_3,41-Melanerpes,
MVZCCGP_Mfo67-I_D07,MVZCCGP_Mfo67-I_D07_1,GCA_026170545.1,MVZCCGP_Mfo67-I_D07_R1.fastq.gz,MVZCCGP_Mfo67-I_D07_R2.fastq.gz,36.37851365,-121.5568207,41-Melanerpes,MVZCCGP_Mfo67-I_D07_1,41-Melanerpes,
MVZCCGP_Mfo67-I_D07,MVZCCGP_Mfo67-I_D07_3,GCA_026170545.1,MVZCCGP-Mfo67_S13_L004_R1_001.fastq.gz,MVZCCGP-Mfo67_S13_L004_R2_001.fastq.gz,36.37851365,-121.5568207,41-Melanerpes,MVZCCGP_Mfo67-I_D07_3,41-Melanerpes,
