BioSample,LibraryName,refGenome,Organism,fq1,fq2,lat,long,Run,BioProject
PEB05,PEB05_S35_L002,GCA_022045235.1,Haliotis cracherodii,PEB05_S35_L002_R1_001.fastq.gz,PEB05_S35_L002_R2_001.fastq.gz,37.23263,-122.41607,PEB05_S35_L002,x
PEB05,PEB05_S35_L004,GCA_022045235.1,Haliotis cracherodii,PEB05_S35_L004_R1_001.fastq.gz,PEB05_S35_L004_R2_001.fastq.gz,37.23263,-122.41607,PEB05_S35_L004,x
PEB05,PEB05_S35_L003,GCA_022045235.1,Haliotis cracherodii,PEB05_S35_L003_R1_001.fastq.gz,PEB05_S35_L003_R2_001.fastq.gz,37.23263,-122.41607,PEB05_S35_L003,x
PTL09,PTL09_S36_L003,GCA_022045235.1,Haliotis cracherodii,PTL09_S36_L003_R1_001.fastq.gz,PTL09_S36_L003_R2_001.fastq.gz,36.51375697,-121.946775,PTL09_S36_L003,x
PTL09,PTL09_S36_L001,GCA_022045235.1,Haliotis cracherodii,PTL09_S36_L001_R1_001.fastq.gz,PTL09_S36_L001_R2_001.fastq.gz,36.51375697,-121.946775,PTL09_S36_L001,x
PTL09,PTL09_S36_L004,GCA_022045235.1,Haliotis cracherodii,PTL09_S36_L004_R1_001.fastq.gz,PTL09_S36_L004_R2_001.fastq.gz,36.51375697,-121.946775,PTL09_S36_L004,x
PTL09,PTL09_S36_L002,GCA_022045235.1,Haliotis cracherodii,PTL09_S36_L002_R1_001.fastq.gz,PTL09_S36_L002_R2_001.fastq.gz,36.51375697,-121.946775,PTL09_S36_L002,x
PVA01,PVA01_S37_L003,GCA_022045235.1,Haliotis cracherodii,PVA01_S37_L003_R1_001.fastq.gz,PVA01_S37_L003_R2_001.fastq.gz,35.94699296,-121.480503,PVA01_S37_L003,x
PVA01,PVA01_S37_L004,GCA_022045235.1,Haliotis cracherodii,PVA01_S37_L004_R1_001.fastq.gz,PVA01_S37_L004_R2_001.fastq.gz,35.94699296,-121.480503,PVA01_S37_L004,x
PVA01,PVA01_S37_L002,GCA_022045235.1,Haliotis cracherodii,PVA01_S37_L002_R1_001.fastq.gz,PVA01_S37_L002_R2_001.fastq.gz,35.94699296,-121.480503,PVA01_S37_L002,x
PVA01,PVA01_S37_L001,GCA_022045235.1,Haliotis cracherodii,PVA01_S37_L001_R1_001.fastq.gz,PVA01_S37_L001_R2_001.fastq.gz,35.94699296,-121.480503,PVA01_S37_L001,x
PVA02,PVA02_S38_L002,GCA_022045235.1,Haliotis cracherodii,PVA02_S38_L002_R1_001.fastq.gz,PVA02_S38_L002_R2_001.fastq.gz,35.94697,-121.480491,PVA02_S38_L002,x
PVA02,PVA02_S38_L001,GCA_022045235.1,Haliotis cracherodii,PVA02_S38_L001_R1_001.fastq.gz,PVA02_S38_L001_R2_001.fastq.gz,35.94697,-121.480491,PVA02_S38_L001,x
PVA02,PVA02_S38_L003,GCA_022045235.1,Haliotis cracherodii,PVA02_S38_L003_R1_001.fastq.gz,PVA02_S38_L003_R2_001.fastq.gz,35.94697,-121.480491,PVA02_S38_L003,x
PVA02,PVA02_S38_L004,GCA_022045235.1,Haliotis cracherodii,PVA02_S38_L004_R1_001.fastq.gz,PVA02_S38_L004_R2_001.fastq.gz,35.94697,-121.480491,PVA02_S38_L004,x
SCT05,SCT05_S39_L004,GCA_022045235.1,Haliotis cracherodii,SCT05_S39_L004_R1_001.fastq.gz,SCT05_S39_L004_R2_001.fastq.gz,37.05049398,-122.242942,SCT05_S39_L004,x
SCT05,SCT05_S39_L001,GCA_022045235.1,Haliotis cracherodii,SCT05_S39_L001_R1_001.fastq.gz,SCT05_S39_L001_R2_001.fastq.gz,37.05049398,-122.242942,SCT05_S39_L001,x
SCT05,SCT05_S39_L002,GCA_022045235.1,Haliotis cracherodii,SCT05_S39_L002_R1_001.fastq.gz,SCT05_S39_L002_R2_001.fastq.gz,37.05049398,-122.242942,SCT05_S39_L002,x
SCT05,SCT05_S39_L003,GCA_022045235.1,Haliotis cracherodii,SCT05_S39_L003_R1_001.fastq.gz,SCT05_S39_L003_R2_001.fastq.gz,37.05049398,-122.242942,SCT05_S39_L003,x
SCT06,SCT06_S40_L003,GCA_022045235.1,Haliotis cracherodii,SCT06_S40_L003_R1_001.fastq.gz,SCT06_S40_L003_R2_001.fastq.gz,37.05049398,-122.242942,SCT06_S40_L003,x
SCT06,SCT06_S40_L001,GCA_022045235.1,Haliotis cracherodii,SCT06_S40_L001_R1_001.fastq.gz,SCT06_S40_L001_R2_001.fastq.gz,37.05049398,-122.242942,SCT06_S40_L001,x
SCT06,SCT06_S40_L004,GCA_022045235.1,Haliotis cracherodii,SCT06_S40_L004_R1_001.fastq.gz,SCT06_S40_L004_R2_001.fastq.gz,37.05049398,-122.242942,SCT06_S40_L004,x
SCT06,SCT06_S40_L002,GCA_022045235.1,Haliotis cracherodii,SCT06_S40_L002_R1_001.fastq.gz,SCT06_S40_L002_R2_001.fastq.gz,37.05049398,-122.242942,SCT06_S40_L002,x
SRFR10,SRFR10_S41_L003,GCA_022045235.1,Haliotis cracherodii,SRFR10_S41_L003_R1_001.fastq.gz,SRFR10_S41_L003_R2_001.fastq.gz,33.99329455,-120.2381268,SRFR10_S41_L003,x
SRFR10,SRFR10_S41_L004,GCA_022045235.1,Haliotis cracherodii,SRFR10_S41_L004_R1_001.fastq.gz,SRFR10_S41_L004_R2_001.fastq.gz,33.99329455,-120.2381268,SRFR10_S41_L004,x
SRFR10,SRFR10_S41_L001,GCA_022045235.1,Haliotis cracherodii,SRFR10_S41_L001_R1_001.fastq.gz,SRFR10_S41_L001_R2_001.fastq.gz,33.99329455,-120.2381268,SRFR10_S41_L001,x
SRFR10,SRFR10_S41_L002,GCA_022045235.1,Haliotis cracherodii,SRFR10_S41_L002_R1_001.fastq.gz,SRFR10_S41_L002_R2_001.fastq.gz,33.99329455,-120.2381268,SRFR10_S41_L002,x
SWC05,SWC05_S42_L004,GCA_022045235.1,Haliotis cracherodii,SWC05_S42_L004_R1_001.fastq.gz,SWC05_S42_L004_R2_001.fastq.gz,36.56085799,-121.940458,SWC05_S42_L004,x
