
Clock type: CPU
Ordered by: totaltime, desc

name                                                                                                                      ncall       tsub      ttot      tavg      
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/pandas/__init__.py:1 <module>                         1           0.000307  0.940222  0.940222
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/requests/utils.py:989 get_auth_from_url               9817        0.106557  0.933311  0.000095
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/dag.py:1411 DAG.finish                      605         0.017002  0.929982  0.001537
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/contextlib.py:139 _GeneratorContextManager.__exit__                 19658       0.095046  0.928546  0.000047
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/requests/sessions.py:144 Session.resolve_redirects    9817        0.080274  0.918309  0.000094
<string>:1 <lambda>                                                                                                       158466      0.606499  0.915978  0.000006
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/jobs.py:443 Job.shellcmd                    605         0.005126  0.873106  0.001443
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/jobs.py:887 Job.format_wildcards            604         0.064124  0.867979  0.001437
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/dag.py:275 DAG.create_conda_envs            1           0.000015  0.864232  0.864232
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/dag.py:280 <setcomp>                        1           0.004120  0.864213  0.864213
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/jobs.py:350 Job.conda_env_spec              605         0.002834  0.853798  0.001411
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/rules.py:1125 Rule.expand_conda_env         605         0.005337  0.850965  0.001407
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/dag.py:600 DAG.handle_temp                  605         0.011928  0.849032  0.001403
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/remote/GS.py:330 RemoteObject.blob          4380        0.047055  0.843868  0.000193
..iconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/deployment/conda.py:718 CondaEnvFileSpec.apply_wildcards  604         0.006841  0.829545  0.001373
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/google/api_core/exceptions.py:455 from_http_response  5445        0.166003  0.827442  0.000152
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/rules.py:878 concretize_iofile              4221        0.033255  0.824457  0.000195
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/common/__init__.py:245 get_function_params  3932        0.026030  0.813582  0.000207
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/email/utils.py:51 _has_surrogates                                   165077      0.570543  0.811619  0.000005
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/io.py:735 _IOFile.clone_flags               7997        0.138382  0.807689  0.000101
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/remote/GS.py:1 <module>                     1           0.000130  0.806171  0.806171
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/google/cloud/storage/__init__.py:1 <module>           1           0.000081  0.798397  0.798397
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/requests/utils.py:1010 check_header_validity          58900       0.344605  0.790159  0.000013
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/inspect.py:3245 signature                                           3964        0.017425  0.790129  0.000199
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/inspect.py:2991 from_callable                                       3964        0.016746  0.772705  0.000195
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/google/cloud/storage/batch.py:1 <module>              1           0.000109  0.760853  0.760853
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/smart_open/smart_open_lib.py:62 parse_uri             1271        0.164153  0.760496  0.000598
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/inspect.py:2371 _signature_from_callable                            3967/3965   0.086432  0.756524  0.000191
